PARAULA, USOS
de, 346
la, 216
i, 208
els, 119
en, 117
a, 114
que, 110
el, 96
les, 96
per, 80
superior, 75
del, 66
ministres, 59
europeu, 43
densenyament, 43
dels, 34
es, 31
amb, 31
un, 30
proces, 27
bolonya, 26
una, 26
com, 25
institucions, 25
lespai, 23
tambe, 20
mes, 20
sistema, 20
paisos, 19
al, 19
lensenyament, 19
qualitat, 18
als, 17
europea, 17
alignright, 15
seguiment, 15
seva, 15
paginacanigo, 14
tots, 14
dos, 13
pel, 13
desenvolupament, 13
estudiants, 13
deducacio, 13
cant, 12
social, 12
mobilitat, 12
europeus, 11
necessitat, 11
cooperacio, 11
grup, 11
part, 11
titulacions, 11
dun, 10
importancia, 10
lambit, 10
sobre, 10
aixi, 10
sistemes, 10
manera, 10
dins, 10
cicle, 10
van, 9
objectius, 9
creacio, 9
fa, 9
fer, 9
entre, 9
membres, 9
perque, 9
mesures, 9
declaracio, 8
treball, 8
mateix, 8
subratllen, 8
seus, 8
destudi, 8
duna, 8
primer, 7
segon, 7
2005, 7
seu, 7
principis, 7
millorar, 7
nacional, 7
aquest, 7
major, 7
nacionals, 7
recerca, 7
mitjancant, 7
altres, 7
cicles, 7
reconeixement, 7
programes, 7
participacio, 7
promocio, 7
reunio, 7
demanen, 7
conferencia, 6
berlin, 6
praga, 6
lobjectiu, 6
europa, 6
coneixement, 6
implementacio, 6
tal, 6
cultural, 6
europees, 6
garantia, 6
dacord, 6
qualificacions, 6
tot, 6
observen, 6
estudiantil, 6
credits, 6
direccio, 6
formacio, 6
lany, 6
pais, 6
va, 5
compromis, 5
anys, 5
sha, 5
han, 5
barcelona, 5
mon, 5
prenen, 5
progres, 5
reconeixen, 5
suport, 5
esforcos, 5
promoure, 5
paper, 5
convencio, 5
aquesta, 5
shan, 5
aixo, 5
comprometen, 5
recalquen, 5
estudis, 5
periode, 5
obstacles, 5
general, 5
propera, 5
ministerial, 5
volum, 5
tercer, 4
19, 4
2010, 4
leducacio, 4
espai, 4
primera, 4
progressos, 4
prioritats, 4
nous, 4
competitivitat, 4
academics, 4
consell, 4
nota, 4
resultats, 4
organitzacions, 4
garantir, 4
agraeixen, 4
no, 4
unio, 4
des, 4
institucional, 4
totes, 4
parts, 4
donar, 4
titols, 4
